FishStock,Year,Management,Additional
ank.27.78ab,2015,"<ul><li> There are two separate TACs set for anglerfish in this area; one for Sub-area VII and a second for TAC for Divisions VIIIabde. The TAC area does not correspond to the assessment area (Divisions VIIb-k and VIIIa,b). An additional allocation needs to be made for Division VIIa.</li> <li> Two species; white bellied (L piscatorious) and black bellied (L. budegassa) are caught in this assessment area. These species are not routinely separated by the industry. Therefore a combined TAC is set for both species.</li> <li> The 2015 TAC for Sub-area VII was 33,516 t with an associated Irish quota of 2,540 t. Ireland has no quota in TAC area Divisions VIIIabde.</li> <li> Most countries had a high level of quota uptake in 2014, except France.</li> <li> There are no explicit management objectives or plans for this stock.</li> <li> There is no minimum legal landing size for anglerfish. However, EC Reg. No 2406/96 dealing with common marketing standards fixes a minimum weight of 500 g for anglerfish.</li> <li> There is a ban on fishing gillnets in Divisions VIa,b and VIIb,c,j,k in more than 200m depth (EC Reg. No 51/2006).</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
ank.27.78ab,2016,<ul><li> The TAC applies to both species of anglerfish (black and white anglerfish) because these species are often not separated by the industry. This prevents effective control of fishing mortality of the individual species. </li> <li> There are two TAC areas that cover this stock: area 7 and area 8abde. Ireland only has a quota for area 7. There is a special condition allowing 10% of the area 7 quota to be fished in 8abde but Ireland generally does not make use of this option.</li> <li> There is no minimum landing size but EC 2406/96 established a minimum marketing size of 500 g gutted weight or 200 g tailed.</li> <li> More than half of the international landings from area 7 are taken in Irish waters but the Irish TAC share is only 8%.</li></ul>,"<ul><li> Fishing effort has shown a steady decrease since the 1990s.</li> <li> Black and white anglerfish are partly caught in a targeted fishery: almost half of the Irish landings come from trips where anglerfish was the dominant species. The remainder are taken in a more mixed fishery and are mainly landed with megrim as well as various gadoids.</li> <li> FEAS initiated a new survey series in 2016, designed to provide a reliable biomass index for anglerfish.</li> <li> FEAS are also developing new assessment methods to improve the advice for anglerfish in advance of a benchmark for all anglerfish stocks in 2017 and 2018.</li></ul>"
ank.27.78ab,2017,"<ul><li> The TAC applies to both species of anglerfish (black and white anglerfish) because these species are often not separated by the industry. This prevents effective control of fishing mortality of the individual species. </li> <li> There are two TAC areas that cover this stock: area 7 and area 8abde. Ireland only has a quota for area 7. There is a special condition allowing 10% of the area 7 quota to be fished in 8abde but Ireland generally does not make use of this option.</li> <li> More than half of the international landings from area 7 are taken in Irish waters but the Irish TAC share is only 8%.</li> <li> France, who has most of the quota, only lands around 75% of its allocated quota; most other countries are depending on quota swaps to land their catches (see Figure 1 on the next page).</li></ul>","<ul><li> Fishing effort has shown a steady decrease since the 1990s.</li> <li> Black and white anglerfish are partly caught in a targeted fishery: almost half of the Irish landings come from trips where anglerfish was the dominant species. The remainder are taken in a more mixed fishery and are mainly landed with megrim as well as various gadoids.</li> <li> FEAS initiated a new survey series in 2016, designed to provide a reliable biomass index for anglerfish.</li> <li> All ICES anglerfish stocks will be benchmarked in 2018 with the aim of developing assessments that can provide an improved basis for the catch advice for these stocks.</li></ul>"
ank.27.78ab,2018,"<ul><li> The TAC applies to both species of anglerfish because they are usually not separated in the landings. This could lead to over-exploitation of one species and under-exploitation of the other. However, the relative abundance of the two species does not appear to have changed much over time, suggesting that the two species are subject to similar stock dynamics and fishing mortality.</li> <li> There are two TAC areas that cover this stock: area 7 and area 8abde. Up to 10% of the Sub-area 7 TAC may be fished in Divisions 8abde but there currently is no flexibility from 8abde to 7.</li></ul>","<ul><li> The 2019 advice for the combined species in the total stock area is 41,841 t. This implies a 2019 Irish quota of 2,501 t in Sub-area 7.</li> <li> The advice for black anglerfish is based on an IBTS survey index, which covers most of the stock. This survey and other independent information indicate that the stock is likely to be increasing. However the advice for 2019 is lower than the previous year because the ICES PA buffer was applied.</li> <li> A new analytical assessment was agreed for white anglerfish at the benchmark in 2018. This assessment indicates that the stock is increasing and fished close to F<sub>MSY</sub>. The advice (for white anglerfish) is for an increase in catches compared to the advice for the previous year. </li> <li> The IBTS survey index was not available for 2017 due to a breakdown of the French survey vessel; therefore the advice for black anglerfish is based on data up to 2016 only. The white anglerfish assessment model also uses the IBTS index but the missing 2017 data did not appear to affect the quality of the assessment significantly.</li> <li> Historically, the TAC has been set higher than the advised landings. The catch advice for 2019 is now very close to the TAC of 2018.</li> <li> France, which has most of the quota, only lands around 75% of its allocated quota; most other countries depend on quota swaps to land their catches.</li> <li> Discard rates for both species are relatively low (in the order of 10%). However, Irish fleets have higher discard rates than other countries, which is probably the result of having more fishing effort in areas with relatively more small anglerfish. With the full introduction of the landing obligation these unwanted catches will be deductible from the quota.</li> <li> Most of the Irish anglerfish landings come from highly mixed fisheries. They are caught together with megrim, <em>Nephrops</em>, haddock, hake and other species. In some areas anglerfish are specifically targeted, mainly along the edge of the continental shelf.</li> </ul>"
ank.27.78ab,2019,"<ul><li> The TAC applies to both species of anglerfish because they are often not separated in the landings. This could lead to over-exploitation of one species and under-exploitation of the other. However, the relative abundance of the two species does not appear to have changed much over time, suggesting that the two species are subject to similar stock dynamics and fishing mortality.</li> <li> There are two TAC areas that cover this stock: area 7 and area 8abde. Up to 10% of the Sub-area 7 TAC may be fished in Divisions 8.a-b,d-e but there currently is no flexibility from 8abde to 7.</li></ul>","<ul><li> The 2020 advice for the combined species in the total stock area is 44,757 t. This implies a 2020 Irish quota of 2,706 t in Sub-area 7, assuming the same allocation between the TAC areas as last year.</li> <li> The advice for black anglerfish is based on an IBTS survey index. This survey indicates that the stock is increasing and catch data indicate that the fishing pressure is below F<sub>MSY</sub>. Therefore, the advice is for an increase in catches compared to the advice for the previous year.</li> <li> The assessment for white anglerfish indicates that the stock is increasing and fished below F<sub>MSY</sub>. The advice is for an increase in catches compared to the advice for the previous year. </li> <li> In 2019 the TAC was very close to the advised catches for the two species combined. </li> <li> France, which has most of the TAC, only lands around 75% of its allocated quota; most other countries depend on quota swaps to land their catches</li> <li> Most of the Irish anglerfish landings come from highly mixed fisheries. They are caught together with megrim, <em>Nephrops</em>, haddock, hake and other species. In some areas anglerfish are specifically targeted, mainly along the edge of the continental shelf.</li></ul>"
BFT-E,2015,"<ul><li> The TAC for 2015 is 15,821 t. The EC has a large share of this TAC (9,372 t) but Ireland has no quota. An EC by-catch quota of 32.97 t that is otherwise unallocated is available to Ireland. By-catches by Ireland and other countries not having a quota must not exceed this level.</li> <li> The TAC covers the entire North Atlantic Ocean east of 45oW and the also the Mediterranean Sea.</li> <li> In 2006, the Commission adopted a recovery plan for this stock. This plan includes various conservation measures, including a TAC together with extended time/area closures and minimum size. Management measures to reduce fishing mortality were introduced in 2008. These measures included lower TACs, increased control and enforcement measures, particularly within the Mediterranean Sea, and a requirement for all purse seine vessels targeting bluefin tuna for farming in cages to carry observers on board.</li> <li> EU member states' recreational catches must be deducted from available quotas. Bluefin tuna is the only marine species subject to this provision.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
BFT-E,2016,"<ul><li> A rebuilding plan has been in place for this stock since 2006.</li> <li> The TAC covers the entire North Atlantic Ocean east of 45oW and the also the Mediterranean Sea.</li> <li> The 2016 TAC was 19,296 t.</li> <li> Recommendation 09-06 sets the objective of achieving F<sub>MSY</sub> and B<sub>MSY</sub> through 2022 with at least 60% of probability.</li> <li> In 2006, ICCAT adopted a recovery plan for this stock. This plan includes various conservation measures, including a TAC together with extended time/area closures and minimum size. Management measures to reduce fishing mortality were introduced in 2008. These measures included lower TACs, increased control and enforcement measures, particularly within the Mediterranean Sea, and a requirement for all purse seine vessels targeting Bluefin tuna for farming in cages to carry observers on board.</li> <li> In Recs. 09-06, 10-04, 12-03, and 13-07 ICCAT established a total allowable catch for eastern Atlantic and Mediterranean Bluefin tuna between 12,900 t and 13,400 t since 2010. This TAC has increased by 20.5% in 2015 (16,142 t) (Rec. 14-04), and 19.5% in 2016 (Rec. 14-04).</li></ul>","<ul><li> Ireland has no target fisheries and by-catches in any fisheries are subject to an unallocated bycatch quota for EU vessels (32.97 t in 2016). This by-catch allowance may be very restrictive as the stock rebuilds.</li> <li> There is no quota uplift for this stock.</li> <li> EU member states' recreational catches must be deducted from available quotas. Bluefin tuna is the only marine species subject to this provision. The quota that Ireland has access to is designated for by-catch only, and not for target fisheries.</li></ul>"
BFT-E,2017,"<ul><li> The TAC covers the entire North Atlantic Ocean east of 45oW and the also the Mediterranean Sea.</li> <li> ICCAT recommendation 09-06 sets the objective of achieving F<sub>MSY</sub> and B<sub>MSY</sub> by 2022 with at least a 60% probability.</li> <li> In 2006, ICCAT adopted a rebuilding plan for this stock. This plan includes various conservation measures, including a TAC together with extended time/area closures and minimum size. Management measures to reduce fishing mortality were introduced in 2008. These measures included lower TACs, increased control and enforcement measures, particularly within the Mediterranean Sea, and a requirement for all purse seine vessels targeting Bluefin tuna for farming in cages to carry observers on board. This plan runs until 2022.</li> <li> In ICCAT recommendations 09-06, 10-04, 12-03, and 13-07 ICCAT established a total allowable catch for eastern Atlantic and Mediterranean Bluefin tuna between 12,900 t and 13,400 t from 2010. This TAC has increased by 20.5% in 2015 (16,142 t) and 19.5% in 2016 (ICCAT recommendation 14-04).</li> <li> EU member states recreational catches must be deducted from available quotas. Bluefin tuna is the only marine species subject to this provision. The quota that Ireland has access to is designated for bycatch only, and not for target fisheries.</li></ul>",<ul><li> The stock was assessed in 2017 by means of applying statistical modelling to the available data up to 2015.</li> <li> Ireland has no target fisheries. Bycatches in any fishery are subject to an unallocated bycatch quota for EU vessels (47.32 t in 2017). This bycatch allowance may be very restrictive as the stock rebuilds.</li> <li> The reported total catch in 2016 exceeded the TAC.</li> <li> A recommendation to consider moving from a rebuilding to a management plan has been made.</li></ul>
BFT-E,2018,"<ul><li>The TAC covers the entire North Atlantic Ocean east of 45 &deg W and the also the Mediterranean Sea.</li> <li>ICCAT recommendation 09-06 sets the objective of achieving F<sub>MSY</sub> and B<sub>MSY</sub> by 2022 with at least a 60% probability.</li> <li>In 2006, ICCAT adopted a rebuilding plan for this stock. This plan includes various conservation measures, including a TAC together with extended time/area closures and minimum size. Management measures to reduce fishing mortality were introduced in 2008. These measures included lower TACs, increased control and enforcement measures, particularly within the Mediterranean Sea, and a requirement for all purse seine vessels targeting Bluefin tuna for farming in cages to carry observers on-board. This plan runs until 2022.</li> <li>EU member states' retained recreational catches must be deducted from available quotas. The quota that Ireland has access to is designated for bycatch only, and not for target fisheries.</li> </ul>","<ul><li>The stock was assessed in 2017 by means of applying statistical modelling to the available data up to 2015.</li> <li>Ireland has no target fisheries. Bycatches in any fishery are subject to an unallocated bycatch quota for EU vessels (55.76 t in 2018). This bycatch allowance may be very restrictive as the stock rebuilds.</li> <li>A recommendation to consider moving from a rebuilding to a management plan has been made.</li> <li>The Marine Institute commenced a satellite tagging programme in 2016 in partnership with Stanford University, University of Arcadia, Queen's University and ICCAT. A total of 56 Bluefin Tuna were tagged off the Donegal coast during years 2016, 2017 and 2018. Results suggest a very high survival rate of tagged fish. Tags recovered to date show that fish tend to migrate to the mid-Atlantic with some passing through the Bay of Biscay and at least one fish observed entering the Mediterranean at spawning time and returning to Irish waters.</li> </ul>"
BFT-E,2019,"<ul><li>The TAC covers the entire North Atlantic Ocean east of 45 &deg W and the also the Mediterranean Sea.</li> <li>ICCAT recommendation 09-06 sets the objective of achieving F<sub>MSY</sub> and B<sub>MSY</sub> by 2022 with at least a 60% probability.</li> <li>In 2006, ICCAT adopted a rebuilding plan for this stock. This plan includes various conservation measures, including a TAC together with extended time/area closures and minimum size. Management measures to reduce fishing mortality were introduced in 2008. These measures included lower TACs, increased control and enforcement measures, particularly within the Mediterranean Sea, and a requirement for all purse seine vessels targeting Bluefin tuna for farming in cages to carry observers on-board. This plan runs until 2022.</li> <li>EU member states' retained recreational catches must be deducted from available quotas. The quota that Ireland has access to is designated for bycatch only, and not for target fisheries.</li> </ul>","<ul><li>The stock was assessed in 2017 by means of applying statistical modelling to the available data up to 2015.</li> <li> The ICATT Standing Committee on Research and Statistics, in line with Rec. 18-02, evaluated that fishery indicators did not indicate a reason to alter current management advice, and that the stepped increase for 2020 from can be maintained.</li> <li> Work on the Management Strategy Evaluation (MSE) by the Standing Committee on Research and Statistics (SCRS) has advanced substantially and is believed to be the best means of developing robust management advice, the group concluded however, that remaining issues require more time to resolve. Therefore the MSE will not be completed in time for the 2020 Commission meeting to provide TAC advice for 2021-2023 and accordingly, the Committee recommended extending the MSE process for another year.</li> <li>Ireland has no target fisheries. Bycatches in any fishery are subject to an unallocated bycatch quota for EU vessels (61.69 t in 2019). This bycatch allowance may be very restrictive as the stock rebuilds.</li> <li> A recommendation to consider moving from a rebuilding to a management plan has been made. The Marine Institute commenced a research programme on Bluefin tuna in 2016 in partnership with Stanford University USA, University of Acadia Canada, Trinity College Dublin and ICCAT. A total of 56 Bluefin Tuna were tagged with pop off satellite tags (50) and accelerometer tags (6) from the Donegal coast during years 2016, 2017 and 2018. Results suggest a very high survival rate of tagged fish. Tags recovered to date show that fish tend to migrate to the mid-Atlantic for overwintering with some passing through the Bay of Biscay. Several fish have been observed in the Mediterranean at spawning time before subsequently returning to Irish waters a year later. Under the continuing research programme, the Marine institute and partners plan to apply up to 30 satellite tags and 5 accelerometer tags to Bluefin tuna in 2019.</li> <li> A new management plan for Bluefin tuna in the Mediterranean and East Atlantic, proposed by the ICCAT in 2018 allows for countries with no assigned quota to set up a recreational /sport catch/conventional tag/release fishery. This allows member states to collect scientific data regarding the numbers of BFT in particular areas and their migratory habits. Specifically: <ul><li> Vessels would require specific authorisations <li> Vessels must be operating in the context of a scientific project of a research institute integrated in a scientific research programme. <li> Results would also need to be communicated to the Standing Committee on Research and Science (SCRS of ICCAT) on a yearly basis. <li> Tagging must be performed by trained personnel.</li></ul> <li> In 2019, DAFM announced that applications were being sought from angling vessel owners to participate in this catch and release data collection fishery. 15 vessels made successful applications and were provided with authorisations to catch and release Bluefin tuna in Irish waters. All vessel owners were obliged to attend training provided by the Marine Institute, Inland Fisheries Ireland and the Sea Fisheries Protection Authority. The season was opened for the first time on the 15th of August with a closing date of the 15th of October. Following consultations with DAFM, DCCAE, Marine Institute, IFI and SFPA the season was extended to the 12th of November 2019. Tagging with conventional tags was carried out on fish taken alongside the vessel before their release and no fish are allowed to be landed. All fishery data required by ICCAT are being collected by the Marine Institute. Up to the end of October 2019, approximately 200 BFT had been tagged.</li><li>Further information on this stock can be found in the 2018 Stock Book</li></ul>"
boc.27.6-8,2015,"<ul><li> The TAC for 2015 for VI, VII and VIII is 53,296 t. Ireland has a quota of 36,830 t.</li> <li> In October 2010, the European Commission notified member states that species not specifically identified in Annex I of Regulation 850/98 (and cited as ''all other species'', such as boarfish may not be targeted with nets of mesh size smaller than 100mm. This was changed in 2011 allowing fishing using mesh sizes ranging from 32 to 54 mm for boarfish only.</li> <li> A closed season from 15th March to 31st August has been followed by participating vessels on a voluntary basis in 2011-2015, as anecdotal evidence suggested that mackerel and boarfish are caught in mixed aggregations during this period.</li> <li> A closed season was also proposed in Division VIIg from 1st September - 31st October to prevent catches of Celtic Sea herring, known to form feeding aggregations in this region at these times.</li> <li> The management plan further proposes that if catches of a single species other than boarfish totals more than 5% of the total catch in the boarfish fishery, by day and by ICES statistical rectangle, and this species is covered by a TAC, then the boarfish fishery must cease in that rectangle.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
boc.27.6-8,2016,"<ul><li> The stock and management units are ICES sub-areas 6, 7 and 8.</li> <li> A new long term management plan was proposed by the Pelagic Advisory Council in 2015. This plan provides for TAC setting in line with ICES advice, with additional precaution if there is risk of stock collapse.</li> <li> The long term plan includes a closed season from 15th March to 31st August, enshrined in Irish legislation, 2011-2015. This is to mitigate the risk of mackerel bycatch.</li> <li> A closed season was also proposed in Division 7.g from 1st September - 31st October to prevent catches of Celtic Sea herring, known to form feeding aggregations in this region at these times.</li> <li> The management plan further proposes that if catches of a single species other than boarfish totals more than 5% of the total catch in the boarfish fishery, by day and by ICES statistical rectangle, and this species is covered by a TAC, then the boarfish fishery must cease in that rectangle.</li></ul>","<ul><li> There is evidence that more juvenile fish have been taken in the past seasons, as the fishery has moved southwards towards nursery grounds in ICES sub-area 8.</li></ul>"
