FishStock,Group,Year,Column,Value
had.27.46a20,Footnotes,2019,"* EU Regulation (EU) 2018/973 establishing a multiannual plan for North Sea demersal stocks lists this stock, however it has not been adopted by Norway. ICES has carried out further management strategy evaluations due to a special request, which could form the basis for an agreement between EU & Norway.
<p>** Maximum of 2020 catch by bottom trawls with mesh size up to 119 mm and requiring reporting (EU 2019; 7048).
",
hke.27.3a46-8abd,Footnotes,2019,"* For vessels with catches of more than 55% combined hake, anglerfish and megrim there is a derogation for less selective gear options (Commission delegated regulation 2019/7048).
",
her.27.6a7bc,Footnotes,2019,"* For the Divisions 6.a, 7.b-c herring, the advice is given on the basis that the stock is currently well below possible reference points and at the lowest level in the time series. ",
her.27.irls,Footnotes,2019,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below B<sub>lim</sub> and no catch scenario enables the stock to recover above B<sub>lim</sub> in one year, the advised fishing mortality is 0.",
her.27.1-24a514a,Footnotes,2019,"* According to the harvest control rule (HCR) in the management strategy F(2020) = F<sub>mgt</sub> = 0.14, since the SSB is forecast to be above B<sub>trigger</sub> on 1 January 2020. ",
hom.27.3a4bc7d,Footnotes,2019,* Commission delegated regulations 2019/7048 & 2018/190 & 2016/2377,
hom.27.2a4a5b6a7a-ce-k8,Footnotes,2019,"* Under the ICES MSY approach, when spawning stock biomass 
(SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is below F<sub>MSY</sub>.
** Commission delegated regulations 2019/7048 & 2018/190 & 2016/2377
",
meg.27.7b-k8abd,Footnotes,2019,* Caught using bottom trawls with mesh 70-99mm and beam trawls with mesh 80-119mm (proposed NWW Discard Plan).,
sol.27.7a,Footnotes,2019,* The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch as set out in WWMAP ,
sol.27.6,Footnotes,2019,"* Sole 6.a is not specifically mentioned in WWMAP, which lists sole 5, 6.b, 12 & 14.",
sol.27.7fg,Footnotes,2019,* The above table depicts the scenario where the 2019 TAC is revised by +20%.,
mac.27.nea,Footnotes,2019,"* Management plan is not agreed by all parties and is thus not used as the basis of advice by ICES. 
<p>** Commission delegated regulations 2019/7048 & 2018/190 & 2016/2377</p>",
ple.27.7fg,Footnotes,2019,"* Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/190).",
ple.27.6,Footnotes,2019,* The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the WWMAP (EU COM(2018)149 Final).,
ple.27.7h-k,Footnotes,2019,"* Under the ICES Advice approach, when spawning stock biomass (SSB) is below the biomass limit reference point (B<sub>lim</sub>) and it is not possible under any level of fishing for SSB to recover to B<sub>lim</sub> within the TAC year, the fishing pressure (F) is set to zero.
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/190).",
ple.27.7bc,Footnotes,2019,"* Based on ICES landings advice, 2017.
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch as set out in the WWMAP (EU COM(2018)149 Final).
<p>*** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/190).
",
ple.27.7a,Footnotes,2019,"* The F<sub>MSY</sub> Ranges have not been used as the basis for the ICES advice as this stock is considered as bycatch in the WWMAP and ICES was requested to provide precautionary advice only.
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/190).",
pok.27.3a46,Footnotes,2019,"* The EU North Sea Multi Annual Plan (EU 2018/973) lists this stock, however it has not been adopted by Norway. 
<p>ICES has carried out further management strategy evaluations due to a special request, 
which could form the basis for an agreement between EU & Norway.",
bss.27.4bc7ad-h,Footnotes,2019,* The F<sub>MSY</sub> Range Upper is not appropriate in this case as the stock is well below MSY B<sub>trigger</sub> - as set out in WWMAP (EU COM(2018)149 Final).,
bss.27.6a7bj,Footnotes,2019,"* ICES 2017 advice, based then on recent landings multiplied by the PA buffer (0.8)
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in WWMAP
",
spr.27.67a-cf-k,Footnotes,2019,* Roll over advice from 2018-2019 which was the 2016-2017 advice reduced by 20% (PA buffer),
dgs.27.nea,Footnotes,2019,* Exemption for permitted bycatch in fisheries implementing an avoidance scheme.,
nep.fu.14,Footnotes,2019,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
nep.fu.15,Footnotes,2019,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
nep.fu.16,Footnotes,2019,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
nep.fu.17,Footnotes,2019,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is less than F<sub>MSY</sub>.                                                                                                                          <p>** The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>*** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
nep.fu.19,Footnotes,2019,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is less than F<sub>MSY</sub>.
<p>**The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>***  Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
nep.fu.2021,Footnotes,2019,"* The F<sub>MSY</sub> Range Lower and Upper value is capped at F<sub>MSY</sub> intended to deliver no more than 5% reduction in long term yield compared to F<sub>MSY</sub>. ICES (2018). 
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034)",
nep.fu.22,Footnotes,2019,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
nep.27.7outfu,Footnotes,2019,"* Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).",
nep.fu.11,Footnotes,2019,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
nep.fu.12,Footnotes,2019,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
nep.fu.13,Footnotes,2019,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).                                                                                                    <p>** Described below under Key Stock Considerations, details in (EC 2019/7048 & 2018/2034).
",
ank.27.78ab,Footnotes,2018,"* Proposed EU management plan (WWMAP) for the Western Waters, which is not yet finalised (COM(2018) 149 final).",
mon.27.78ab,Footnotes,2018,"* Proposed EU management plan (WWMAP) for the Western Waters, which is not yet finalised (COM(2018) 149 final).",
anf.27.3a46,Footnotes,2018,* Multiannual plan for demersal stocks in the North Sea and the fisheries exploiting those stocks (EU 2018/973),
cod.27.7e-k,Footnotes,2018,"* Under the ICES Advice approach, when spawning stock biomass (SSB) is below the biomass limit reference point (B<sub>lim</sub>) and it is not possible under any level of fishing for SSB to recover to B<sub>lim</sub> within the TAC year, the fishing pressure (F) is set to zero.
** The F<sub>MSY</sub> Range Upper is not appropriate in this case as the stock is well below MSY B<sub>trigger</sub> - as set out in the proposed WWMAP (EU COM(2018)149 Final).
<p>*** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>**** Suggested de minimis exemption, caught using trammel nets or otter trawls, and requiring reporting to STECF (proposed NWW Discard Plan).
",
cod.27.1-2,Footnotes,2018,*Adopted at the 46th meeting of the Joint Russian-Norwegian Fisheries Commission (JRNFC) in October 2016,
cod.27.6a,Footnotes,2018,* MAP for demersal stocks in the North Sea ((EU) 2018/973),
cod.27.6b,Footnotes,2018,"* The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP.
** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final). 
",
cod.27.7a,Footnotes,2018,"* The ICES MSY approach applies a scaling to F<sub>MSY</sub> to attain a value of F relative to the spawning stock biomass (SSB) and the MSY B<sub>trigger</sub> reference point, where F = F<sub>MSY</sub> x SSB (2019)/MSY B<sub>trigger</sub> 
** In the context of the proposed WWMAP the F<sub>MSY</sub> Range Upper would not be appropriate because SSB is below MSY B<sub>trigger</sub> (EU COM(2018)149 Final.) 
",
whb.27.1-91214,Footnotes,2018,* Commission delegated regulations 2018/190 & 2016/2377,
whg.27.7a,Footnotes,2018,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below the biomass limit reference point (B<sub>lim</sub>) and it is not possible under any level of fishing for SSB to recover to B<sub>lim</sub> within the TAC year, the fishing pressure (F) is set to zero.
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch as set out in the proposed WWMAP (EU COM(2018)149 Final).
",
whg.27.6a,Footnotes,2018,"* Under the ICES Advice approach, when spawning stock biomass (SSB) is below the biomass limit reference point (B<sub>lim</sub>) and it is not possible under any level of fishing for SSB to recover to B<sub>lim</sub> within the TAC year, the fishing pressure (F) is set to zero.
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP (EU COM(2018)149 Final).
",
whg.27.7b-ce-k,Footnotes,2018,"* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>** Suggested de minimis exemption, caught using bottom trawls and seines with mesh ?80mm, pelagic trawls and beam trawls with mesh 80-119 mm and requiring reporting to STECF (Proposed NWW Discard Plan).
",
had.27.7b-k,Footnotes,2018,"* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>** Suggested de minimis exemption, caught using bottom trawls, seines and beam trawls with mesh &#8805 80mm, and requiring reporting to STECF (Proposed NWW Discard Plan).
",
had.27.7a,Footnotes,2018,* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final),
had.27.46a20,Footnotes,2018,* Multiannual plan for demersal stocks in the North Sea and the fisheries exploiting those stocks (EU 2018/973),
had.27.6b,Footnotes,2018,* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final),
hke.27.3a46-8abd,Footnotes,2018,"* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>** For vessels with catches of more than 55% hake more selective gear options should be used (proposed NWW Discard Plan).
",
her.27.6a7bc,Footnotes,2018,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below the biomass limit reference point (B<sub>lim</sub>) and it is not possible under any level of fishing for SSB to recover to B<sub>lim</sub> within the TAC year, the fishing pressure (F) is set to zero.",
her.27.irls,Footnotes,2018,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is less than F<sub>MSY</sub>.",
her.27.1-24a514a,Footnotes,2018,"* According to the harvest control rule (HCR) in the management plan F(2019) = Fmgt = 0.14, since the SSB is forecast to be above B<sub>trigger</sub> on 1 January 2019. ",
hom.27.3a4bc7d,Footnotes,2018,* Commission delegated regulations 2018/190 & 2016/2377,
hom.27.2a4a5b6a7a-ce-k8,Footnotes,2018,* Commission delegated regulations 2018/190 & 2016/2377,
meg.27.7b-k8abd,Footnotes,2018,* The F<sub>MSY</sub> Range Upper is not appropriate in this case as no management plan is in place - as set out in the proposed WWMAP (EU COM(2018)149 Final).,
lez.27.4a6a,Footnotes,2018,* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).,
lez.27.6b,Footnotes,2018,* The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP (EU COM(2018)149 Final).,
sol.27.7a,Footnotes,2018,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is less than F<sub>MSY</sub>.
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch as set out in the proposed WWMAP (EU COM(2018)149 Final).
",
sol.27.7bc,Footnotes,2018,* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).,
sol.27.7fg,Footnotes,2018,"* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>** Suggested de minimis exemption, caught using TBB gear with a mesh size of 80-119 mm with increased selectivity, and using trammel and gill nets to catch common sole (proposed NWW Discard Plan).
",
sol.27.7h-k,Footnotes,2018,"* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>** Suggested de minimis exemption, caught using trammel and gill nets to catch common sole (proposed NWW Discard Plan).
",
sol.27.6,Footnotes,2018,"* Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final). Sole 6.a is not specifically mentioned in the plan (which lists sole 5, 6b, 12 & 14), which may be an error.",
mac.27.nea,Footnotes,2018,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is less than F<sub>MSY</sub>.
<p>** Management plan is not agreed by all parties and is thus not used as the basis of advice by ICES. 
<p>*** Commission delegated regulations 2018/190 & 2016/2377
",
ple.27.7fg,Footnotes,2018,"* The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP.
<p>** Suggested high survivability exemption, caught using trammel nets, otter trawls or beam trawls (proposed NWW Discard Plan).
",
ple.27.6,Footnotes,2018,* The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP (EU COM(2018)149 Final).,
ple.27.7h-k,Footnotes,2018,"* Under the ICES Advice approach, when spawning stock biomass (SSB) is below the biomass limit reference point (B<sub>lim</sub>) and it is not possible under any level of fishing for SSB to recover to B<sub>lim</sub> within the TAC year, the fishing pressure (F) is set to zero.
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP (EU COM(2018)149 Final).
<p>*** Suggested high survivability exemption, caught using trammel nets, otter trawls or beam trawls (proposed NWW Discard Plan).
",
ple.27.7bc,Footnotes,2018,"* Based on ICES landings advice, 2017.
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch as set out in the proposed WWMAP (EU COM(2018)149 Final).
<p>*** Suggested high survivability exemption, caught using trammel nets, otter trawls or beam trawls (proposed NWW Discard Plan).
",
ple.27.7a,Footnotes,2018,"* The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP (EU COM(2018)149 Final).
<p>** Suggested high survivability exemption, caught using beam trawl (&#8804 221kW, &#8804 24m, within 12nm and tow &#8804 1.30 hours); beam trawls (&#8804 221kW, using flip-up rope or benthic release panel) until 2019 (proposed NWW Discard Plan).
",
lin.27.3a4a6-91214,Footnotes,2018,* Expected mean length of catch above Lmean when F = M,
pol.27.67,Footnotes,2018,"* Based on ICES advice for 2018 multiplied by the PA buffer (0.8)
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
",
pok.27.7,Footnotes,2018,* The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP (EU COM(2018)149 Final).,
pok.27.3a46,Footnotes,2018,"* Not used as a basis for ICES advice in 2018. 
",
bss.27.4bc7ad-h,Footnotes,2018,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is less than F<sub>MSY</sub>.
<p>** The F<sub>MSY</sub> Range Upper is not appropriate in this case as the stock is well below MSY B<sub>trigger</sub> - as set out in the proposed WWMAP (EU COM(2018)149 Final).
<p>*** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).

",
bss.27.6a7bj,Footnotes,2018,"* ICES 2017 advice, based then on recent landings multiplied by the PA buffer (0.8)
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the proposed WWMAP (EU COM(2018)149 Final).
",
spr.27.67a-cf-k,Footnotes,2018,* Based on ICES advice for 2018 multiplied by the PA buffer (0.8),
dgs.27.nea,Footnotes,2018,* Exemption for permitted bycatch in fisheries implementing an avoidance scheme.,
nep.fu.14,Footnotes,2018,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops in the TR1 and TR2 fisheries in Sub-area 7 in combination with highly selective gears and pots, traps and creels in Sub-area 7 (proposed NWW Discard Plan)
",
nep.fu.15,Footnotes,2018,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops in the TR1 and TR2 fisheries in Sub-area 7 in combination with highly selective gears and pots, traps and creels in Sub-area 7 (proposed NWW Discard Plan).
",
nep.fu.16,Footnotes,2018,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops in the TR1 and TR2 fisheries in Sub-area 7 in combination with highly selective gears and pots, traps and creels in Sub-area 7 (proposed NWW Discard Plan).
",
nep.fu.17,Footnotes,2018,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops in the TR1 and TR2 fisheries in Sub-area 7 in combination with highly selective gears and pots, traps and creels in Sub-area 7 (proposed NWW Discard Plan).
",
nep.fu.19,Footnotes,2018,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is less than F<sub>MSY</sub>.
<p>**The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>*** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>**** A high survivability exemption for Nephrops in the TR1 and TR2 fisheries in Sub-area 7 in combination with highly selective gears and pots, traps and creels in Sub-area 7 (proposed NWW Discard Plan).
",
nep.fu.2021,Footnotes,2018,"* The F<sub>MSY</sub> Range Lower and Upper value capped at F<sub>MSY</sub> intended to deliver no more than 5% reduction in long term yield compared to F<sub>MSY</sub>. ICES (2018). 
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops in the TR1 and TR2 fisheries in Sub-area 7 in combination with highly selective gears and pots, traps and creels in Sub-area 7 (proposed NWW Discard Plan).
",
nep.fu.22,Footnotes,2018,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below MSY B<sub>trigger</sub> the fishing mortality advised is less than F<sub>MSY</sub>.
<p>** The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>*** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>****A high survivability exemption for Nephrops in the TR1 and TR2 fisheries in Sub-area 7 in combination with highly selective gears and pots, traps and creels in Sub-area 7 (proposed NWW Discard Plan).
",
nep.27.7outfu,Footnotes,2018,"* Proposed EU management plan (MAP) for the Western Waters, which is not yet finalised (EU, 2018).
<p>** A high survivability exemption for Nephrops in the TR1 and TR2 fisheries in Sub-area 7 in combination with highly selective gears and pots, traps and creels in Sub-area 7 (proposed NWW Discard Plan)
",
nep.fu.11,Footnotes,2018,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops fisheries within twelve nautical miles of the coast, using otter trawls with a mesh size of 80-110 mm in combination with selective gear options in Sub-area 6a (proposed NWW Discard Plan).
",
nep.fu.12,Footnotes,2018,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops fisheries within twelve nautical miles of the coast, using otter trawls with a mesh size of 80-110 mm in combination with selective gear options in Sub-area 6a (proposed NWW Discard Plan).
",
nep.fu.13,Footnotes,2018,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops fisheries within twelve nautical miles of the coast, using otter trawls with a mesh size of 80-110 mm in combination with selective gear options in Sub-area 6a (proposed NWW Discard Plan).
",
nep.fu.13,Footnotes,2018,"* The F<sub>MSY</sub> Range Upper value capped at F<sub>MSY</sub> because it has not been possible to evaluate the probability of SSB < B<sub>lim</sub>, ICES (2016).
<p>** Proposed EU management plan (MAP) for the Western Waters has not been adopted yet (EU COM(2018)149 Final).
<p>*** A high survivability exemption for Nephrops fisheries within twelve nautical miles of the coast, using otter trawls with a mesh size of 80-110 mm in combination with selective gear options in Sub-area 6a (proposed NWW Discard Plan).
",
anf.27.3a46,KeyPoints,2017,"MSY proxy  (WKProxy, 2015)",No proxy identified
anf.27.3a46,KeyPoints,2017,Management Plan,No
anf.27.3a46,KeyPoints,2017,Landing Obligation applicable in 2018,No
ank.27.78ab,KeyPoints,2016,ICES Category,3
ank.27.78ab,KeyPoints,2016,"MSY proxy (WKProxy,2015)","F<FMSY proxy  
SSB > MSY Btrigger proxy
"
ank.27.78ab,KeyPoints,2016,MSY Range,Not defined
ank.27.78ab,KeyPoints,2016,Manage Plan,No
ank.27.78ab,KeyPoints,2016,Landing Obligation applicable,Not in 2017
ank.27.78ab,KeyPoints,2017,ICES Category,3
ank.27.78ab,KeyPoints,2017,"MSY proxy (WKProxy,2015)","F<FMSY proxy  
SSB > MSY Btrigger proxy
"
ank.27.78ab,KeyPoints,2017,MSY Range,Not defined
ank.27.78ab,KeyPoints,2017,Manage Plan,No
ank.27.78ab,KeyPoints,2017,Landing Obligation applicable in 2018,No
mon.27.78ab,KeyPoints,2016,ICES Category,3
mon.27.78ab,KeyPoints,2016,"MSY proxy (WKProxy,2015)","F<FMSY proxy  
SSB > MSY Btrigger proxy
"
mon.27.78ab,KeyPoints,2016,MSY Range,Not defined
mon.27.78ab,KeyPoints,2016,Manage Plan,No
mon.27.78ab,KeyPoints,2016,Landing Obligation applicable,Not in 2017
mon.27.78ab,KeyPoints,2017,ICES Category,3
mon.27.78ab,KeyPoints,2017,"MSY proxy (WKProxy,2015)","F<FMSY proxy  
SSB > MSY Btrigger proxy
"
mon.27.78ab,KeyPoints,2017,MSY Range,Not defined
mon.27.78ab,KeyPoints,2017,Manage Plan,No
mon.27.78ab,KeyPoints,2017,Landing Obligation applicable in 2018,No
boc.27.6-8,KeyPoints,2017,ICES Category,3
boc.27.6-8,KeyPoints,2017,MSY ,Not Available
boc.27.6-8,KeyPoints,2017,MSY Range,Not Available
boc.27.6-8,KeyPoints,2017,Management Plan,Yes
boc.27.6-8,KeyPoints,2017,Landing Obligation applicable in 2018,Yes
cod.27.6a,KeyPoints,2017,ICES Category,1
cod.27.6a,KeyPoints,2017,MSY ,F=0.17 Catch=498 t
cod.27.6a,KeyPoints,2017,  MSY Range lower,F=0.108 Catch=325 t 
cod.27.6a,KeyPoints,2017,  MSY Range upper,F=0.254 Catch=719 t
cod.27.6a,KeyPoints,2017,Management Plan,Yes
cod.27.6a,KeyPoints,2017,Landing Obligation applicable in 2018,No
cod.27.6a,KeyPoints,2017,Stock Collapsed,Yes
cod.27.6b,KeyPoints,2017,ICES Category,6
cod.27.6b,KeyPoints,2017,MSY,Not Available
cod.27.6b,KeyPoints,2017,Management Plan,No
cod.27.6b,KeyPoints,2017,Landing Obligation applicable in 2018,No
cod.27.7a,KeyPoints,2017,ICES Category,1
cod.27.7a,KeyPoints,2017,MSY,0.309
cod.27.7a,KeyPoints,2017,MSY lower,"F= 0.213, Catch=765t"
cod.27.7a,KeyPoints,2017,MSY Upper,"F= 0.408, Catch=1369t"
cod.27.7a,KeyPoints,2017,Manage Plan,No
cod.27.7a,KeyPoints,2017,Landing Obligation applicable in 2018,No
cod.27.7e-k,KeyPoints,2017,ICES Category,1
