FishStock,Year,Management,Additional
BFT-E,2016,"<li> A rebuilding plan has been in place for this stock since 2006.</li>
<li> The TAC covers the entire North Atlantic Ocean east of 45oW and the also the Mediterranean Sea.</li>
<li> The 2016 TAC was 19,296 t.</li>
<li> Recommendation 09-06 sets the objective of achieving F<sub>MSY</sub> and B<sub>MSY</sub> through 2022 with at least 60% of
probability.</li>
<li> In 2006, ICCAT adopted a recovery plan for this stock. This plan includes various conservation measures,
including a TAC together with extended time/area closures and minimum size. Management measures to
reduce fishing mortality were introduced in 2008. These measures included lower TACs, increased control and
enforcement measures, particularly within the Mediterranean Sea, and a requirement for all purse seine vessels
targeting Bluefin tuna for farming in cages to carry observers on board.</li>
<li> In Recs. 09-06, 10-04, 12-03, and 13-07 ICCAT established a total allowable catch for eastern Atlantic
and Mediterranean Bluefin tuna between 12,900 t and 13,400 t since 2010. This TAC has increased by 20.5% in
2015 (16,142 t) (Rec. 14-04), and 19.5% in 2016 (Rec. 14-04).</li>","<li> Ireland has no target fisheries and by-catches in any fisheries are subject to an unallocated bycatch quota for
EU vessels (32.97 t in 2016). This by-catch allowance may be very restrictive as the stock rebuilds.</li>
<li> There is no quota uplift for this stock.</li>
<li> EU member states' recreational catches must be deducted from available quotas. Bluefin tuna is the only
marine species subject to this provision. The quota that Ireland has access to is designated for by-catch only,
and not for target fisheries.</li>"
BFT-E,2017,"<li> The TAC covers the entire North Atlantic Ocean east of 45oW and the also the Mediterranean Sea.</li>
<li> ICCAT recommendation 09-06 sets the objective of achieving F<sub>MSY</sub> and B<sub>MSY</sub> by 2022 with at least a 60% probability.</li>
<li> In 2006, ICCAT adopted a rebuilding plan for this stock. This plan includes various conservation measures,
including a TAC together with extended time/area closures and minimum size. Management measures to
reduce fishing mortality were introduced in 2008. These measures included lower TACs, increased control and
enforcement measures, particularly within the Mediterranean Sea, and a requirement for all purse seine vessels
targeting Bluefin tuna for farming in cages to carry observers on board. This plan runs until 2022.</li>
<li> In ICCAT recommendations 09-06, 10-04, 12-03, and 13-07 ICCAT established a total allowable catch for
eastern Atlantic and Mediterranean Bluefin tuna between 12,900 t and 13,400 t from 2010. This TAC has
increased by 20.5% in 2015 (16,142 t) and 19.5% in 2016 (ICCAT recommendation 14-04).</li>
<li> EU member states recreational catches must be deducted from available quotas. Bluefin tuna is the only
marine species subject to this provision. The quota that Ireland has access to is designated for bycatch only,
and not for target fisheries.</li>","<li> The stock was assessed in 2017 by means of applying statistical modelling to the available data up to 2015.</li>
<li> Ireland has no target fisheries. Bycatches in any fishery are subject to an unallocated bycatch quota for EU
vessels (47.32 t in 2017). This bycatch allowance may be very restrictive as the stock rebuilds.</li>
<li> The reported total catch in 2016 exceeded the TAC.</li>
<li> A recommendation to consider moving from a rebuilding to a management plan has been made.</li>"
boc.27.6-8,2015,"<li> The TAC for 2015 for VI, VII and VIII is 53,296 t. Ireland
has a quota of 36,830 t.</li>
<li> In October 2010, the European Commission notified
member states that species not specifically identified in
Annex I of Regulation 850/98 (and cited as ''all other
species'', such as boarfish may not be targeted with nets
of mesh size smaller than 100mm. This was changed in
2011 allowing fishing using mesh sizes ranging from 32 to
54 mm for boarfish only.</li>
<li> A closed season from 15th March to 31st August has been followed by participating vessels on a
voluntary basis in 2011-2015, as anecdotal evidence suggested that mackerel and boarfish are caught in
mixed aggregations during this period.</li>
<li> A closed season was also proposed in Division VIIg from 1st September - 31st October to prevent
catches of Celtic Sea herring, known to form feeding aggregations in this region at these times.</li>
<li> The management plan further proposes that if catches of a single species other than boarfish totals
more than 5% of the total catch in the boarfish fishery, by day and by ICES statistical rectangle, and this
species is covered by a TAC, then the boarfish fishery must cease in that rectangle.</li>",There is no additional information for this stock
boc.27.6-8,2016,"<li> The stock and management units are ICES sub-areas 6, 7 and 8.</li>
<li> A new long term management plan was proposed by the Pelagic
Advisory Council in 2015. This plan provides for TAC setting in line
with ICES advice, with additional precaution if there is risk of stock
collapse.</li>
<li> The long term plan includes a closed season from 15th March to 31st
August, enshrined in Irish legislation, 2011-2015. This is to mitigate
the risk of mackerel bycatch.</li>
<li> A closed season was also proposed in Division 7.g from 1st September - 31st October to prevent catches of
Celtic Sea herring, known to form feeding aggregations in this region at these times.</li>
<li> The management plan further proposes that if catches of a single species other than boarfish totals more than
5% of the total catch in the boarfish fishery, by day and by ICES statistical rectangle, and this species is covered
by a TAC, then the boarfish fishery must cease in that rectangle.</li>","<li> There is evidence that more juvenile fish have been taken in the past seasons, as the fishery has moved
southwards towards nursery grounds in ICES sub-area 8.</li>"
boc.27.6-8,2017,"<li> The stock assessment and management units are ICES sub-areas 6, 7
and 8.</li>
<li> A long term management plan was proposed by the Pelagic Advisory
Council in 2015. The plan follows the rationale for the TAC setting
within the ICES advice framework, but with some additional caution
at low stock size.</li>
<li> The plan includes a closed season from 31st March to 31st August to
mitigate the risk of herring and mackerel bycatch.</li>
<li> A closed season is also proposed inside the Irish 12-mile limit, south
of 52&deg 30minutes from 12th February - 31st October to prevent catches of
Celtic Sea herring.</li>
<li> The management plan further proposes that if catches of a single species other than boarfish totals more than
5% of the total catch in the boarfish fishery, by day and by ICES statistical rectangle, and this species is covered
by a TAC, then the boarfish fishery must cease in that rectangle for 5 consecutive days.</li>
<li> The landing obligation has applied to pelagic boarfish directed fisheries in 5.b, 6 and 7 since 2015. The landing
obligation does not yet apply to demersal vessels.</li>","<li> Ireland updated its national quota allocation method in 2016 which will likely increase quota uptake in 2017.
The full TAC has not been caught since 2013.</li>"
bss.27.4bc7ad-h,2015,"<li> Given the concerns about the state of the stock, the EU took 4 actions in 2015:
<ul><li> On 19 January 2015 the EU imposed a pelagic trawling ban until the end of April 2015. The ban aims to
protect vulnerable spawning aggregations. This applies to the Channel, Celtic Sea, Irish Sea and southern
North Sea.</li>
<li> On 25 March 2015 the EU set a catch limit of three fish per day per angler. Recreational fishing accounts
for 25% of sea bass catches</li>
<li> On 19 June 2015 the EU set catch limits for particular fishing gears in order to protect sea bass for the
remainder of 2015. The decision also comprises an area closure around Ireland for commercial fishing,
namely the Celtic Sea, Irish Sea, south of Ireland and west of Ireland (ICES areas VIIa,b,c,g,j,k outside the
UK 12 mile zone), thereby extending a national measure, that Ireland has had in place for Irish vessels
only, to protect sea bass since 1990 to cover all EU vessels active in the area.</li>
<li> On 2 July 2015 the EU increased the minimum size for northern sea bass from 36 to 42 cm. The new
rule applies to both commercial and recreational fishermen. This aims to further improve protection and
give more chance for reproduction.</li></ul></li>
<li> There is no TAC for sea bass anywhere in Europe, at present</li>
<li> The Bass (Conservation of Stocks) Order, 1990, prohibits the retention on board or transhipment of sea bass by
Irish registered vessels. Incidental commercial catches of sea bass by Irish vessels must, by law, be discarded.</li>
<li> The Bass (Restrictions on Sale) Regulations 2007 (S.I. 367/2007) prohibits the sale of sea bass in Ireland except for
fish that have been imported.</li>",There is no additional information for this stock
bss.27.4bc7ad-h,2016,"<li> Given the concerns about the state of the stock, the EU took 4 actions in 2015:
<ul><li> On 19 January 2015 the EU imposed a pelagic trawling ban until the end of April 2015. The ban aims
to protect vulnerable spawning aggregations. This applies to the Channel, Celtic Sea, Irish Sea and
southern North Sea.</li>
<li> On 25 March 2015 the EU set a catch limit of three fish per day per angler. Recreational fishing
accounts for 25% of sea bass catches</li>
<li> On 19 June 2015 the EU set catch limits for particular fishing gears in order to protect sea bass for
the remainder of 2015. The decision also comprises an area closure around Ireland for commercial
fishing, namely the Celtic Sea, Irish Sea, south of Ireland and west of Ireland (ICES areas 7.a,b,c,g,j,k
outside the UK 12 mile zone), thereby extending a national measure, that Ireland has had in place for
Irish vessels only, to protect sea bass since 1990 to cover all EU vessels active in the area.</li>
<li> On 2 July 2015 the EU increased the minimum size for northern sea bass from 36 to 42 cm. The new
rule applies to both commercial and recreational fishermen. This aims to further improve protection
and give more chance for reproduction.</li>
<li> On 10 November 2015 the Commission proposed further measures, to be decided by the
28 Member States meeting in the Fisheries Council on 14 and 15 December. The proposals build
upon and strengthen the measures already put in place, with the aim of bringing the stock under MSY
management by 2017. They include:
<ul><li> a complete ban on fishing for the first half of 2016;</li>
<li> a 1-fish bag limit for recreational anglers and a monthly one tonne catch limit per commercial
vessel for the second half of 2016;</li>
<li> a continued area closure around Ireland for commercial fishing.</li></ul></li></ul></li>

<p> On 16 December the Member States have adopted the following measures:
<li> In the first half of 2016: No fishing for sea bass by commercial vessels targeting sea bass, except for long lines,
pole and lines and set nets who will have a closure of two months in February and March 2016; a small by
catch allowance of 1% is envisaged for demersal trawlers and seiners per vessels per month to cover
unavoidable by by-catches. Recreational anglers may practise a catch and release fishery.</li>
<li> In the second half of 2016: catch limits for commercial vessels and a 1 fish bag limit for recreational anglers.</li>
<li> A continued area closure around Ireland for commercial fishing.</li></p>","<li> The emergency measures in 2015 reduced pelagic trawl catches of seabass and also bycatches of seabass in
other fisheries. Additional management measures were introduced in 2016 which may have further reduced
fishing mortality.</li>
<li> ICES considers that its advice for a zero catch in 2017 aiming to bring the stock above B<sub>LIM</sub> in the short term,
remains valid, even if the measures outlined above reduce F in 2016. The current advice assumes F in 2016 = F
in 2015.</li>"
bss.27.4bc7ad-h,2017,"<li> A prohibition on landings of seabass by Irish commercial vessels has been in place in Ireland since 1990.</li>
<li> All EU fishing vessels, as well as commercial fisheries from shore, are prohibited from fish for sea bass in ICES
divisions 4.b-c, 7.d-f and 7.h, as well as waters of ICES divisions 7a and 7g more than 12 nautical miles from the
UK baseline.</li>
<li> Article 9 of Council Regulation 2017/127 details measures on Sea bass fisheries.</li>
<li> The Regulation imposes a catch and release only recreational fishery between 1st January and 30th June 2017
and a daily bag limit of 1 fish from 1st July to 31st December 2017.</li>
<li> Nationally, the Sea Fisheries Maritime Jurisdiction Act 2006 set out fishing restrictions under three statutory
instruments:
<ul><li> SI 230 of 2006, prohibits the fishing, landing, transhipping or having sea bass on board an Irish commercial
fishing boat; the use of nets; and prescribes a minimum size of 40cm.</li>
<li> SI 367 of 2007 prohibits sale or offer for sale of sea bass (other than those imported).</li>
<li> The SI 368 of 2007 which imposed a daily bag limit of two fish per day and banned angling during the
spawning season has been superseded by the Council Regulation 2017/127. </li></ul></li>","<li> The ICES forecast indicates that even with zero catch in 2018 the stock will be below B<sub>lim</sub>.</li>
<li> Sea bass are a slow growing late maturing species so rebuilding of SSB will take several years despite the
recently introduced restrictive management measures.</li>"
bss.27.6a7bj,2015,"<li> Given the concerns about the state of sea bass, the EU took several actions in 2015 that are of relevance
in this area:
<ul> <li>On 25 March 2015 the EU set a catch limit of three fish per day per angler. Recreational fishing
accounts for 25% of sea bass catches
<li> On 19 June 2015 the EU set catch limits for particular fishing gears in order to protect sea bass
for the remainder of 2015. The decision also comprises an area closure around Ireland for
commercial fishing, namely the Celtic Sea, Irish Sea, south of Ireland and west of Ireland (ICES
areas VIIa,b,c,g,j,k outside the UK 12 mile zone), thereby extending a national measure, that
Ireland has had in place for Irish vessels only, to protect sea bass since 1990 to cover all EU
vessels active in the area.</li></ul></li>
<li> The Bass Fishing Conservation Bye-law No. 826 of 2007 (SI 386/2007) imposes an angling bag limit of 2 fish per
24 hour period and bans angling from the 15 May to 15 June.
<ul><li> On 2 July 2015 the EU increased the minimum size for northern sea bass from 36 to 42 cm. The
new rule applies to both commercial and recreational fishermen. This aims to further improve
protection and give more chance for reproduction.</li></ul></li>
<li> There is no TAC for sea bass anywhere in Europe, at present.</li>
<li> The Bass (Conservation of Stocks) Order, 1990 prohibits the retention on board or transhipment of sea
bass by Irish registered vessels. Incidental commercial catches of sea bass by Irish vessels must, by law, be
discarded.</li>
<li> The Bass (Restrictions on Sale) Regulations 2007 (S.I. 367/2007) prohibits the sale of sea bass in Ireland
except for fish that have been imported.</li>
<li> The Bass Fishing Conservation Bye-law No. 826 of 2007 (SI 386/2007) imposes an angling bag limit of 2
fish per 24 hour period and bans angling from the 15 May to 15 June.</li>",There is no additional information for this stock
bss.27.6a7bj,2016,"<li> Given the concerns about the state of the stock, the EU took 4 actions in 2015:
<ul><li> On 19 January 2015 the EU imposed a pelagic trawling ban until the end of April 2015. The ban aims to
protect vulnerable spawning aggregations. This applies to the Channel, Celtic Sea, Irish Sea and southern
North Sea.</li>
<li> On 25 March 2015 the EU set a catch limit of three fish per day per angler. Recreational fishing accounts
for 25% of sea bass catches</li>
<li> On 19 June 2015 the EU set catch limits for particular fishing gears in order to protect sea bass for the
remainder of 2015. The decision also comprises an area closure around Ireland for commercial fishing,
namely the Celtic Sea, Irish Sea, south of Ireland and west of Ireland (ICES areas 7.a-c,g,j,k outside the UK
12 mile zone), thereby extending a national measure, that Ireland has had in place for Irish vessels only, to
protect sea bass since 1990 to cover all EU vessels active in the area.</li>
<li> On 2 July 2015 the EU increased the minimum size for northern sea bass from 36 to 42 cm. The new rule
applies to both commercial and recreational fishermen. This aims to further improve protection and give
more chance for reproduction.</li>
<li> On 10 November 2015 the Commission proposed further measures. The proposals build upon and
strengthen the measures already put in place, with the aim of bringing the stock under MSY management
by 2017. They include:
<ul><li> a complete ban on fishing for the first half of 2016;</li>
<li> a 1-fish bag limit for recreational anglers and a monthly one tonne catch limit per commercial vessel
for the second half of 2016;</li>
<li> a continued area closure around Ireland for commercial fishing.</li></ul></li></ul></li>
<p>On 16 December the Member States adopted the following measures:
<li> In the first half of 2016: No fishing for sea bass by commercial vessels targeting sea bass, except for long lines,
pole and lines and set nets who will have a closure of two months in February and March 2016; a small by
catch allowance of 1% is envisaged for demersal trawlers and seiners per vessels per month to cover
unavoidable by by-catches. Recreational anglers may practise a catch and release fishery.</li>
<li> In the second half of 2016: catch limits for commercial vessels and a 1 fish bag limit for recreational anglers.</li>
<li> A continued area closure around Ireland for commercial fishing.</li></p>",There is no additional information for this stock
bss.27.6a7bj,2017,"<li> A prohibition on landings of seabass by Irish commercial vessels has been in place in Ireland since 1990. </li>
<li> All EU vessels are prohibited from fishing for sea bass in ICES divisions 7.b, 7.c, 7.j and 7.k.</li>
<li> Article 9 of Council Regulation 2017/127 details measures, including derogations, where commercial catches
were recorded between 1st July 2015 and 30th September 2016 by specified gears, the following may be
retained:
<ul><li>  Unavoidable by-catch by trawls and seines not exceeding 3% by weight (total catch)/day or 400 kg/month. </li>
<li>  Catch by hook and line in January 2017 and between 1st April and 31st December 2017 not exceeding 10 t/vessel. </li>
<li>  Unavoidable by-catches by fixed gillnets not exceeding 250 kg/month. </li></ul>
Such catch must be reported to the Commission within 20 days of the end of each month.
<li> The Regulation imposes a daily bag limit of 1 fish from in ICES divisions 7.j and 7.k. </li>
<li> Nationally, the Sea Fisheries Maritime Jurisdiction Act 2006 set out fishing restrictions under three statutory
instruments:
<ul><li>  SI 230 of 2006, prohibits the fishing, landing, transhipping or having sea bass on board an Irish commercial
fishing boat; the use of nets; and prescribes a minimum size of 40cm.</li>
<li>  SI 367 of 2007 prohibits sale or offer for sale of sea bass (other than those imported).</li>
<li>  The SI 368 of 2007 which imposed a daily bag limit of two fish per day and banned angling during the
spawning season has been superseded by the Council Regulation 2017/127.</li></ul> </li>","<li> Official reported landings are low and fluctuate without any trends with most coming from are from
Division 7.j.</li>
<li> Highly sporadic catches have been reported, which are discarded owing to the landings moratorium in place
since 1990.</li>
<li> The stock identity remains poorly understood and analyses of tagging studies are ongoing.</li>"
cod.27.1-2,2015,"<li> The current management plan has been in place since 2004 (amended in 2009). ICES considers the
amended plan to be in accordance with the precautionary approach and not in contradiction with the MSY
approach. The plan aims to maintain F at Fpa (0.40) and to restrict between-year TAC changes to +-10%.
However, should F fall below 0.3, the TAC should be increased (without restriction) to a level
corresponding to a fishing mortality of 0.30. The plan stipulates that should SSB fall below B<sub>pa</sub>, the target F
should be reduced with no limitation on year-to-year variation in TAC.</li>
<li> The 2015 TAC is 894,000 t. The EU allocation (Norwegian waters only) is 20,524 t and the Irish
allocation in 2015 is 307 t.</li>",There is no additional information for this stock
cod.27.1-2,2016,"<li> The current management plan has been in place since 2004 (amended in
2009). ICES considers the amended plan to be in accordance with the
precautionary approach and not in contradiction with the MSY
approach. The plan aims to maintain F at Fpa (0.40) and to restrict
between-year TAC changes to ?10%. However, should F fall below
0.3, the TAC should be increased (without restriction) to a level
corresponding to a fishing mortality of 0.30. The plan stipulates that
should SSB fall below B<sub>pa</sub> (460,000 t), the target F should be reduced
with no limitation on year-to-year variation in TAC.</li>",There is no additional information for this stock
cod.27.1-2,2017,"<li> A revised management plan has been in place since 2016.
ICES evaluated the harvest control rule and concluded that
it is precautionary.</li>
<li> Ireland has a share of the EU quota but did not take part in
the fishery in 2016.</li>
<li> Bycatch of coastal cod and golden redfish, both of which
are unsustainably fished, is a concern in fisheries targeting
Arctic cod.</li>",There is no additional information for this stock
cod.27.6a,2015,"<li> EU has adopted a long-term plan for cod stocks and the fisheries exploiting those stocks Council
Regulation (EC) 1342/2008.</li>
<li> The TAC Area covers Division VIa, EU and international waters of Vb east of 12&deg 00' W. The assessment
covers Division VIa only. FEAS considers that the management area should correspond to the assessment
area.</li>
<li> The 2015 TAC was 0 t. By-catch of cod in the area covered by this TAC may be landed provided that it
does not comprise more than 1.5 % of the live weight of the total catch retained on board per fishing trip
and therefore does not constrain catches.</li>",There is no additional information for this stock
cod.27.6a,2016,"<li> The EU has adopted a long-term plan for cod stocks and the fisheries exploiting those stocks Council
Regulation (EC) 1342/2008.</li>
<li> The TAC Area covers Division 6.a, EU and international waters of 5.b east of 12&deg 00 W. The assessment
covers Division 6.a only and is adjusted to include substantial area mis-reporting estimates for landings
reported in 4 but thought to be taken in 6.</li>
<li> The 2016 TAC was 0 t. By-catch of cod in the area covered by this TAC may be landed provided that it
does not comprise more than 1.5 % of the live weight of the total catch retained on board per fishing trip
and therefore does not constrain catches.</li>","<li> Irish landings of West of Scotland cod are mainly taken as a minor bycatch in mixed fisheries and are mainly
landed with saithe, haddock, hake, megrim and anglerfish.</li>
<li> West of Scotland cod has collapsed and there are no indications of recovery despite significant management
measures.</li>"
